Symbol;GeneID;padj;pvalue;lfcSE;stat;log2FoldChange;baseMean;Description
ENPP2;5168;0.111;0.0545;0.671;-1.92252;-1.289557;550.16;ectonucleotide pyrophosphatase/phosphodiesterase 2
ITGA5;3678;5.50E-14;1.65E-15;0.422;7.965007;3.3583356;5686.76;integrin subunit alpha 5
ITGA8;8516;5.48E-36;1.72E-38;0.467;-12.97384;-6.0590209;357.11;integrin subunit alpha 8
ITGAV;3685;0.64;0.527;0.3;0.633142;0.1901051;2748.92;integrin subunit alpha V
ITGB1;3688;4.97E-12;1.98E-13;0.334;7.350283;2.4572444;23687.68;integrin subunit beta 1
ITGB3;3690;0.0177;0.00598;0.493;2.749133;1.3542295;817.39;integrin subunit beta 3
ITGB5;3693;0.00867;0.00259;0.508;3.012116;1.5287151;3206.13;integrin subunit beta 5
ITGB6;3694;NA;NA;4.052;-0.654388;-2.6514803;346.92;integrin subunit beta 6
ITGB8;3696;0.603;0.485;1.001;0.698288;0.6989538;264.34;integrin subunit beta 8
LPAR1;1902;9.22E-08;7.39E-09;0.573;5.781708;3.3149259;3068.54;lysophosphatidic acid receptor 1
LPAR2;9170;2.66E-05;3.69E-06;0.561;-4.627983;-2.5949116;274.96;lysophosphatidic acid receptor 2
LPAR3;23566;0.0571;0.0241;0.954;2.255914;2.1532041;55.48;lysophosphatidic acid receptor 3
LPAR5;57121;0.248;0.149;2.684;-1.441356;-3.8678958;166.61;lysophosphatidic acid receptor 5
LPAR6;10161;0.317;0.206;0.805;-1.266026;-1.018657;119.42;lysophosphatidic acid receptor 6
PLPP1;8611;0.487;0.364;0.698;0.907039;0.6335489;932.6;phospholipid phosphatase 1
PLPP2;8612;0.00724;0.0021;0.822;-3.075304;-2.5286409;446.03;phospholipid phosphatase 2
PLPP3;8613;0.402;0.282;0.839;1.075476;0.9027196;3605.17;phospholipid phosphatase 3
