Symbol;GeneID;padj;pvalue;lfcSE;stat;log2FoldChange;baseMean;Description
ENPP2;5168;8.04E-83;2.80E-85;0.435;-19.5696693;-8.51;1349.23;ectonucleotide pyrophosphatase/phosphodiesterase 2
ITGA2B;3674;0.554;0.484;0.7943;-0.6999593;-0.556;9.55;integrin subunit alpha 2b
ITGA5;3678;0.000109;4.28E-05;0.5431;-4.0918831;-2.22;761.03;integrin subunit alpha 5
ITGA8;8516;9.51E-34;2.59E-35;1.0263;-12.4007975;-12.7;836.28;integrin subunit alpha 8
ITGAV;3685;0.884;0.856;0.3744;0.1809767;0.0678;6426.08;integrin subunit alpha V
ITGB1;3688;0.313;0.249;0.2393;1.153437;0.276;10775.59;integrin subunit beta 1
ITGB3;3690;2.59E-37;5.75E-39;0.5938;-13.0576382;-7.75;217.63;integrin subunit beta 3
ITGB5;3693;0.011;0.00606;0.2503;2.7444725;0.687;1735.59;integrin subunit beta 5
ITGB6;3694;0.987;0.984;0.4818;-0.0196407;-0.00946;1823.48;integrin subunit beta 6
ITGB8;3696;0.0144;0.00808;0.5952;2.6488311;1.58;1792.04;integrin subunit beta 8
LPAR1;1902;0.000139;5.56E-05;0.5347;-4.0307134;-2.16;637.23;lysophosphatidic acid receptor 1
LPAR2;9170;0.146;0.105;0.4085;1.6230212;0.663;357.7;lysophosphatidic acid receptor 2
LPAR3;23566;1.04E-15;1.11E-16;0.5725;-8.2925267;-4.75;22.29;lysophosphatidic acid receptor 3
LPAR5;57121;0.466;0.395;0.3421;0.8498081;0.291;254.04;lysophosphatidic acid receptor 5
LPAR6;10161;0.989;0.986;0.938;-0.017483;-0.0164;534.97;lysophosphatidic acid receptor 6
PLPP1;8611;0.0212;0.0123;0.3514;-2.5031866;-0.88;667.26;phospholipid phosphatase 1
PLPP2;8612;7.79E-10;1.55E-10;0.3085;6.3999141;1.97;1950.07;phospholipid phosphatase 2
PLPP3;8613;6.51E-23;3.67E-24;0.3327;-10.1399567;-3.37;1409.2;phospholipid phosphatase 3
