Symbol;GeneID;padj;pvalue;lfcSE;stat;log2FoldChange;baseMean;Description
ENPP2;5168;0.807;0.601;0.664;-0.5231937;-0.3475787;1770;ectonucleotide pyrophosphatase/phosphodiesterase 2
ITGA2B;3674;0.0136;0.0011;1.265;-3.2634069;-4.1296838;166;integrin subunit alpha 2b
ITGA5;3678;0.473;0.218;0.729;-1.2326008;-0.8980229;2970;integrin subunit alpha 5
ITGA8;8516;0.00536;0.000316;0.806;-3.6015558;-2.9038047;972;integrin subunit alpha 8
ITGAV;3685;0.563;0.299;0.569;1.03914;0.5907626;7870;integrin subunit alpha V
ITGB1;3688;0.535;0.272;0.569;-1.0984212;-0.6252232;15800;integrin subunit beta 1
ITGB3;3690;0.0299;0.0033;0.927;-2.9385646;-2.7238796;344;integrin subunit beta 3
ITGB5;3693;0.409;0.168;0.531;1.3800734;0.7324724;1820;integrin subunit beta 5
ITGB6;3694;0.39;0.155;0.999;1.4234886;1.4224514;2160;integrin subunit beta 6
ITGB8;3696;0.0197;0.00182;0.661;3.1184717;2.0621197;1650;integrin subunit beta 8
LPAR1;1902;0.967;0.918;0.626;0.1025032;0.0642037;313;lysophosphatidic acid receptor 1
LPAR2;9170;0.582;0.319;0.679;0.9967201;0.6766365;47.5;lysophosphatidic acid receptor 2
LPAR3;23566;0.521;0.26;0.99;1.1268683;1.1152691;187;lysophosphatidic acid receptor 3
LPAR4;2846;0.208;0.0537;1.642;1.9290202;3.1671698;11.4;lysophosphatidic acid receptor 4
LPAR5;57121;0.31;0.104;0.927;1.6241041;1.5051163;31.6;lysophosphatidic acid receptor 5
LPAR6;10161;0.457;0.205;0.569;-1.2685322;-0.7217962;713;lysophosphatidic acid receptor 6
PLPP1;8611;0.364;0.137;0.634;-1.4875241;-0.9435132;482;phospholipid phosphatase 1
PLPP2;8612;0.0292;0.00319;0.699;2.9488972;2.0604764;261;phospholipid phosphatase 2
PLPP3;8613;0.377;0.146;0.732;-1.452358;-1.0637061;620;phospholipid phosphatase 3
