Symbol;GeneID;padj;pvalue;lfcSE;stat;log2FoldChange;baseMean;Description
ENPP2;5168;0.0036;0.000738;0.497;-3.375;-1.6781489;14.35;ectonucleotide pyrophosphatase/phosphodiesterase 2
ITGA2B;3674;0.0289;0.0094;0.571;2.597092;1.4829354;1262.71;integrin subunit alpha 2b
ITGA5;3678;0.831;0.753;0.38;0.314367;0.119397;41.61;integrin subunit alpha 5
ITGA8;8516;0.381;0.256;0.479;-1.136161;-0.5437094;12.87;integrin subunit alpha 8
ITGAV;3685;0.000129;1.34E-05;0.455;-4.353027;-1.9821028;10.94;integrin subunit alpha V
ITGB1;3688;0.297;0.183;0.517;-1.331656;-0.6886674;328.33;integrin subunit beta 1
ITGB3;3690;0.123;0.0585;0.519;-1.89205;-0.9824101;573.79;integrin subunit beta 3
ITGB5;3693;0.439;0.31;0.397;1.016013;0.4035671;64.01;integrin subunit beta 5
ITGB8;3696;0.0415;0.0147;0.491;-2.440892;-1.1974401;26.06;integrin subunit beta 8
LPAR2;9170;0.0491;0.0182;0.501;2.362537;1.1839972;24;lysophosphatidic acid receptor 2
LPAR5;57121;0.266;0.158;0.479;1.41134;0.6755645;32.29;lysophosphatidic acid receptor 5
LPAR6;10161;0.000748;0.000111;0.418;-3.866109;-1.6149727;13.86;lysophosphatidic acid receptor 6
