Symbol;GeneID;padj;pvalue;lfcSE;stat;log2FoldChange;baseMean;Description
ENPP2;5168;5.96E-05;5.29E-06;0.4255;4.5528564;1.9374138;309.96;ectonucleotide pyrophosphatase/phosphodiesterase 2
ITGA2B;3674;0.0965;0.0415;0.7325;2.0383931;1.493214;10.81;integrin subunit alpha 2b
ITGA5;3678;1.83E-11;1.36E-13;0.6345;7.400601;4.6953135;1008.23;integrin subunit alpha 5
ITGA8;8516;0.285;0.167;0.5357;1.3802881;0.739392;178.64;integrin subunit alpha 8
ITGAV;3685;0.000119;1.20E-05;0.2607;4.3771729;1.1410323;1827.32;integrin subunit alpha V
ITGB1;3688;0.0499;0.0182;0.3062;2.362413;0.7233876;7457.31;integrin subunit beta 1
ITGB3;3690;0.000786;0.000116;0.6338;3.8535169;2.4423436;279.03;integrin subunit beta 3
ITGB5;3693;0.0519;0.019;0.3173;2.3451426;0.744216;1276.32;integrin subunit beta 5
ITGB6;3694;0.136;0.0638;0.5761;1.8534219;1.0677704;509.56;integrin subunit beta 6
ITGB8;3696;0.246;0.137;0.3926;1.4855774;0.5832066;593.7;integrin subunit beta 8
LPAR1;1902;0.72;0.6;0.4445;0.524313;0.2330602;357.2;lysophosphatidic acid receptor 1
LPAR2;9170;0.0319;0.0103;0.4243;2.5647;1.0882946;144.04;lysophosphatidic acid receptor 2
LPAR3;23566;0.401;0.264;0.6921;1.1166807;0.7728205;21.37;lysophosphatidic acid receptor 3
LPAR4;2846;0.0961;0.0413;0.8295;2.0406521;1.6927397;6.88;lysophosphatidic acid receptor 4
LPAR5;57121;0.361;0.23;0.4305;-1.2011369;-0.5170616;216.75;lysophosphatidic acid receptor 5
LPAR6;10161;7.71E-06;4.52E-07;0.2603;5.0458478;1.3136032;323.01;lysophosphatidic acid receptor 6
PLPP1;8611;0.00305;0.00059;0.4049;3.4363116;1.3912321;661.64;phospholipid phosphatase 1
PLPP2;8612;0.0209;0.0061;0.514;2.7424446;1.4095623;648.25;phospholipid phosphatase 2
PLPP3;8613;1.99E-06;8.99E-08;0.3686;5.3461017;1.970652;546.09;phospholipid phosphatase 3
