Symbol;GeneID;padj;pvalue;lfcSE;stat;log2FoldChange;baseMean;Description
ENPP2;5168;0.0891;0.0283;0.454;-2.192715;-0.9957086;996.61;ectonucleotide pyrophosphatase/phosphodiesterase 2
ITGA2B;3674;0.097;0.0318;0.479;-2.146743;-1.028919;19.93;integrin subunit alpha 2b
ITGA5;3678;0.0514;0.0136;0.409;-2.467996;-1.0097236;3112.55;integrin subunit alpha 5
ITGA8;8516;0.0911;0.0292;0.434;-2.180705;-0.9471867;373.13;integrin subunit alpha 8
ITGAV;3685;0.0453;0.0115;0.32;2.527775;0.8083651;5607.98;integrin subunit alpha V
ITGB1;3688;0.844;0.734;0.263;0.339425;0.0892258;19855.7;integrin subunit beta 1
ITGB3;3690;4.04E-05;2.50E-06;0.291;-4.708133;-1.3706843;491.89;integrin subunit beta 3
ITGB5;3693;0.0706;0.0207;0.245;2.313536;0.5678176;3683.64;integrin subunit beta 5
ITGB6;3694;0.458;0.278;0.365;1.08502;0.3955465;1474.3;integrin subunit beta 6
ITGB8;3696;0.464;0.283;0.428;1.073548;0.4593827;1010.56;integrin subunit beta 8
LPAR1;1902;8.72E-07;3.31E-08;0.294;-5.523997;-1.6238929;900.96;lysophosphatidic acid receptor 1
LPAR2;9170;0.00318;0.000403;0.265;3.538081;0.937437;725.7;lysophosphatidic acid receptor 2
LPAR3;23566;0.972;0.948;0.567;0.065211;0.036998;49.43;lysophosphatidic acid receptor 3
LPAR4;2846;0.0233;0.00489;0.608;-2.814199;-1.7106655;22.37;lysophosphatidic acid receptor 4
LPAR5;57121;0.71;0.551;0.298;0.596891;0.1778672;906.36;lysophosphatidic acid receptor 5
LPAR6;10161;0.914;0.848;0.335;-0.191251;-0.0640662;1012.5;lysophosphatidic acid receptor 6
PLPP1;8611;0.00239;0.000284;0.319;-3.629602;-1.1590576;2131.43;phospholipid phosphatase 1
PLPP2;8612;7.80E-05;5.30E-06;0.284;4.552496;1.2939662;3340.76;phospholipid phosphatase 2
PLPP3;8613;0.00215;0.00025;0.287;-3.662139;-1.0496921;2087.54;phospholipid phosphatase 3
